,fantasy
790,"Henry DeTamble, a librarian, possesses a unique gene that lets him involuntarily travel through time. His wife, Claire Abshire, finds it difficult to cope with it."
791,"Winnie Goodwin is an immortal witch (a la ""Bewitched"") reluctantly sent Earthward to do pro-bono work with a mortal American family."
792,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."
793,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents and the planet."
794,An atheist's life is turned upside down when God adds him as a friend on Facebook.
795,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it's gone forever."
796,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny: to become the hero who will be forever known as Peter Pan."
797,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
798,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil."
799,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
800,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather."
801,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
802,"Modern society's evolution involves stem cells, gene therapy, transplants, and cloning, but also exposes the existence of monsters that hold the key to our race's future."
803,"Rentt Faina is devoured by a legendary dragon and finds himself like a pile of bones. Armed with a sword, a belt and a terrifying new appearance, he begins his quest as a newly reborn skeleton to achieve Existential Evolution."
804,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell."
805,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
806,"When a modern day chef gets trapped in the body of a queen in the Joseon era, chaos ensues."
807,An injured hitman befriends his kidnapped daughter's imaginary friend; a perky blue flying unicorn.
808,A young boy learns that a superhero who was thought to have died after an epic battle twenty-five years ago may in fact still be alive.
809,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears."
810,A cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his Airbnb with his friends.
811,High schooler Rakuro loves beating bad games. But can he discover all the secrets hidden in a best-selling VR game?
812,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled."
813,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror."
814,A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.
